Company,Global,Founded,WorkHourBalance,LastQuarterProfit,YearlyProfit,FiveYearProfit,MonthlyExpenses
Edgewire,true,12/04/1993,104,-27200,-1510902338,-6547784169950402753,76078.44
Eabox,false,01/03/2001,-56,-23278,888020522,-7402945270850412079,48954.86
Centidel,false,06/05/2010,-61,-4871,997692031,-7650652309968322676,53984.45
Jetpulse,false,09/08/2009,-122,29506,-1934853867,3431774585517104004,1325.93
Wordtune,false,01/17/1995,33,25401,-2137464779,1832102139824668508,18585.28
Kwimbee,false,12/13/2010,-2,-30507,131287293,-8482902901053466314,52068.25
Realbuzz,true,10/28/2003,73,-22493,-315137185,-2367944866516223147,24103.66
Dynabox,true,03/29/1993,46,-21310,-1211136923,7754630943354095063,66184.12
Linkbuzz,false,11/08/2003,-123,-25870,708747495,-8465324355421229375,19888.37
Linkbridge,true,07/13/2013,-69,-23011,-1011474757,-1579515611970496920,63104.99
Photospace,false,11/04/1992,-39,29233,-2018649141,-7143449560319219993,42234.34
Blogtag,false,10/06/1992,9,-18607,676431109,-7059162210452321088,55057.84
Meetz,false,12/25/2004,125,-13078,1702680434,2179281169764011436,5436.14
Skipstorm,true,07/17/1991,57,-17804,372487725,2317363429110518003,28539.14
Jatri,true,07/01/2011,113,-22048,2128259293,-4497610393605608690,99460.18
Ainyx,true,01/29/2014,-6,-17960,222832472,-5873702496740800676,94560.3
Tavu,false,07/13/2005,103,-383,1983194600,7363332133758377604,52412.92
Kaymbo,true,05/03/2005,93,19093,930656890,-4006104637738164804,79652.46
Cogidoo,true,03/22/2015,127,5757,-1195257604,6185536915767500888,36726.79
Dabjam,true,01/22/2014,-113,7151,-553836253,6194359391240626866,2895.73
Leexo,true,10/15/2002,68,11225,-630570861,-5128108355466167729,31365.35
Roomm,false,06/07/1995,-63,-972,-1076381874,2928507432750371325,66495.72
Flipbug,true,05/04/2012,52,-20853,726404941,200290007907809352,94842.45
Quatz,true,12/17/1991,-20,9382,-1999208792,3499308881942060688,79638.23
Roodel,false,09/11/2004,-44,-19565,1742160548,-8475670159433628221,75228.79
Voomm,true,08/27/2000,-79,-21508,-1115545923,-2742591146556152653,23945.84
Roodel,false,11/08/2007,43,-15717,-1682265514,8283876074129824173,44182.57
Myworks,true,12/11/2011,-30,8334,-1730682968,-6639940295997305526,40931.57
Skipstorm,true,11/05/2014,-97,-11226,-1365968345,-8987861463584418907,29958.64
Yombu,true,05/23/2002,-121,5007,-867522074,1966304428475404657,52459.01
Plambee,true,03/15/2004,15,5236,1190052043,-8160626563003364548,20357.11
Browsedrive,true,04/18/1993,74,-31813,-112082435,4601584304321852889,16566.49
Talane,false,06/05/2015,-17,12313,-29984525,-3838401579525815312,70055.56
Wikizz,true,11/08/2014,-61,20741,924555098,-6497947862865496204,54625.64
Tagfeed,false,03/23/2003,64,27639,926254264,608872422978397619,9396.62
Blogtags,true,01/28/2013,117,-8393,964153279,-3190386858482819630,64974.09
InnoZ,false,03/12/1995,87,-30805,-346409720,-1010238293223006655,33148.74
Tazzy,false,08/05/2000,-103,14982,-517113188,5475086567259535829,9928.25
Jabberbean,true,03/21/2010,0,-18059,-29811427,1633564604989764652,83219.15
Pixonyx,true,12/28/1997,8,-17700,277915746,-6282569456386565857,99012.74
Jetpulse,true,09/20/2003,-88,-3273,-561141611,-7152949953675200632,41376.13
Babbleblab,true,01/26/2013,-6,-10678,-703435435,2180448116763090164,69448.04
Eabox,false,07/02/1992,93,-16676,1465563091,-6523229771955184606,36673.56
Ntags,false,09/30/2001,89,31507,-1703715081,5258408173818848401,87808.93
Bubbletube,true,08/28/2008,71,7696,1373182696,4571874115911549544,48104.22
Wordware,true,06/22/1995,119,6955,-70641462,3416874687086570971,77901.84
Realfire,false,08/18/2006,19,26260,-92223789,-5572971604568708972,81569.0
Kare,true,07/29/1992,105,32388,-1411716097,1126108839494807015,10022.51
Youspan,false,02/23/2000,14,-23960,-2063303780,-6076783115395372846,70467.96
Skalith,false,05/21/1999,-46,-9245,527659769,-3150913555699014841,48708.94
Eayo,true,02/25/2012,-87,-4349,60278452,7295565739499323152,35194.29
Skilith,false,02/11/1992,56,-8365,616035184,-7182221570097088943,95681.27
Latz,true,09/17/2006,-120,-4222,949806030,1593492955534711600,39844.0
BlogXS,false,09/13/1999,-93,-32365,2009702612,-384436743028795434,51582.56
Babblestorm,false,11/27/2000,-12,-27546,-1282342887,7254404258518357656,52565.79
Skyvu,false,04/17/2012,80,2774,264355576,2153040044359650482,53425.16
Eayo,false,02/26/2005,-30,-8196,1407450278,8923487242021074461,19813.42
Zoomzone,false,06/16/2007,50,-29668,1959864629,-6966753169564105055,90052.08
Flashspan,false,11/27/1998,28,31594,1153593117,-5572370503013916378,91672.48
Centimia,false,11/24/2014,-74,-52,-2005243160,7972816395040909415,80453.85
Meemm,false,06/23/2011,-82,-13198,-1624886149,9067715851725433705,94321.04
Ooba,true,06/02/2003,104,21692,-1989561530,7223189961161146267,64912.63
Wikizz,false,11/05/2006,-10,8690,-1879717459,-4600618492540197399,88176.44
Rhyzio,true,02/21/2006,15,1312,-187463120,-8208173023794511857,93187.46
Topiclounge,false,12/29/1994,-88,-32352,1622808013,-8534940731851053057,3852.23
Skinder,false,05/04/2005,-4,-14656,-168107161,-6382757901922205188,32911.89
Youspan,true,05/20/2009,-114,29203,240754613,5458456669635840945,83594.39
Avamba,true,03/10/2003,11,-10188,1263570628,-8364837372433249873,54304.89
Riffpath,true,06/15/1992,103,-19992,-947031175,8965320718390324601,19584.47
Yakitri,false,06/23/2003,-59,-32583,-1024738488,6883130387480328325,44788.5
Myworks,false,10/04/2001,6,20403,288455728,4377163346202481562,44107.0
Camimbo,false,04/19/1992,52,-5807,-278385623,2587861932536971233,16745.19
Twitterbridge,true,03/06/1997,-73,-562,-896584068,6922368324507507071,24144.07
Gabvine,true,05/05/1991,31,-22305,-1442656878,4148248285285336117,24360.06
Digitube,false,02/11/2005,-112,29563,710408920,9193127227773471249,36224.42
Reallinks,true,01/19/2011,-108,12823,-553650158,-4893263414253301403,43649.76
Shuffletag,true,01/06/2014,116,1930,412560041,6704761328702486269,73472.42
Youopia,true,12/27/1997,-25,18350,1363528970,6161697145263998260,25363.72
Gabvine,false,07/14/1998,-91,-3361,1610336129,-974278897049724304,10321.76
Muxo,true,08/28/2002,-4,14335,2141370742,-8301056256560759508,82926.6
Skidoo,true,03/30/2005,-61,-6315,-1799582763,-8691092995215328170,54108.45
Realcube,false,03/07/2010,105,-23058,-2064341451,-6699134829252387411,57575.82
Agimba,false,08/29/1997,5,9349,-576674781,7620742692804930091,89836.14
Aimbu,true,09/21/2001,71,-24993,636103662,3415633884314925607,40705.3
Kazu,true,11/01/1995,111,18427,160789756,-3280434796307676901,47590.88
Miboo,false,01/13/2006,1,2175,1641065959,6067048234330027589,55683.27
Topicshots,true,10/07/2009,-120,-28274,1069832482,-4548189645720299416,54445.72
Muxo,true,05/31/2006,12,9141,-627174893,8521561001427112691,99912.85
Quire,true,08/03/1992,-62,-21045,-1240939266,-2213474257503727818,75506.64
Skinder,false,09/21/2013,-1,20316,-409837528,6022596680394492898,4777.37
Meevee,false,11/04/2007,-94,12651,906762339,-4007054109676540882,65968.27
Ainyx,false,11/28/1997,104,-3405,1502593411,437764210445064909,8536.42
Vidoo,true,02/02/1991,46,1603,1157696451,3724445787514496363,11762.61
Trudoo,true,08/08/2008,-76,-28146,-1883959802,-8711861047364230774,99015.29
Trilith,true,03/01/1992,-101,24937,-1571013779,4346849803757013725,15056.15
Livetube,false,08/22/1997,55,24910,-538760292,8383176911976823043,21028.39
Fadeo,true,11/21/2012,55,25645,-989248935,3289296185062575217,41912.09
Trudoo,true,02/20/1996,-89,31203,927556912,-2694538591362389310,60012.43
Wordtune,false,01/21/1993,77,-14908,-1997206685,-5841075204314032143,22063.59
Fadeo,false,08/15/1996,-57,5729,-279458047,-916228435533448194,41309.09
Devcast,true,06/12/1996,70,751,-405995061,1284819767721318891,86628.0
Babbleblab,true,04/14/2013,104,-1595,170999584,-4416717126486255984,84601.5
Browsezoom,false,10/23/1994,94,-816,391457572,-3091393925487884397,62530.65
Skyble,false,08/26/2007,-113,4402,-1821879930,-8514253349758339338,48392.68
Dablist,true,03/28/1993,-120,-14759,-1407217013,-7207494006843589312,60793.77
Oloo,true,04/04/2001,-46,-7500,966338906,3960542725293098490,47708.16
Oyondu,true,07/18/2010,-3,18025,-312592389,8402658876103559732,45338.2
Dynabox,true,03/30/2002,-110,20101,712895491,679469895116848706,63822.16
Fivebridge,true,02/16/1999,20,11055,-1203365276,-5555273898646378434,73841.39
Babbleblab,true,12/02/1993,28,6206,-470463835,5666547490566211624,3124.55
Skilith,true,06/01/1993,77,-26463,2006050563,4804978726966001506,77415.64
Zoomzone,false,05/11/1991,-52,-27895,-1165556619,2709667801751002649,70693.37
Midel,true,11/25/1993,76,-12275,1792787926,6250862253819439375,10339.78
Yombu,true,07/26/2007,77,14414,-2048409185,6839108886175128730,20263.97
Skinix,false,08/24/2005,-43,-16859,-1218063218,3852202629776285112,10917.49
Centidel,true,09/21/2005,-46,30041,-242941754,4578516971088423168,99136.43
Eazzy,false,08/05/1995,-66,1810,78782832,-200405790159151435,92290.37
Ailane,false,03/22/1991,-95,26123,83132013,-7375723736042634070,39844.86
Photojam,false,04/02/2011,-48,-1381,798108055,6629773205991120947,45569.71
Viva,true,02/08/2011,98,-32022,42725609,-5298174010900036685,47635.66
Demimbu,false,08/13/1995,44,-16850,-1404043916,956474177453294705,88961.05
Oba,true,07/12/2003,-31,26065,-2105232071,7738230122939446645,80777.12
Skinte,false,09/04/2002,-17,924,-1096339072,-4576831244146195047,81061.02
Meedoo,true,02/26/1993,4,2066,-76223674,1168575145561159657,34885.35
Oyoloo,true,11/15/2003,-86,-4686,-1502282100,1375047411031108032,4516.69
Jabberbean,true,06/27/2004,-92,11950,-855216281,3720600873379365442,69253.52
Mynte,false,04/24/2009,-83,-4247,-749650609,8299528047386680012,88432.54
Quimm,false,01/03/2003,-41,27688,-316779150,-2410182680793081810,64430.31
Flipstorm,false,12/31/2002,5,-16594,1301210732,7492600748948103783,16041.98
Dabtype,true,10/28/2006,34,28832,1006787413,-654900208103399932,87065.34
Topicware,false,08/04/2010,-41,15114,-2135383931,-6315300737964757512,71982.23
Topicstorm,true,02/09/2006,-123,-14247,-632483383,-7707933327945501448,76965.75
Devcast,true,06/26/1995,-16,-12371,1349735509,-3188733172835799689,69835.09
Meedoo,true,04/25/2004,-74,-7951,953087669,-2980508740238007145,67978.28
Reallinks,false,10/21/1994,-11,-25457,-545395410,-7870878187147558144,65343.27
Gabtype,false,10/17/2007,89,5763,569869365,3525048804663450047,67314.21
Youtags,true,03/02/2005,-47,-19955,-436675163,-4816727011390141274,47644.75
Tanoodle,true,09/05/2006,-122,251,1328735324,-7246546270355906886,32695.17
Skinte,false,04/03/2001,-20,-14522,-1627639260,-1534500022776421464,41657.89
Vimbo,false,11/10/2000,115,-18514,695803600,-8679516763063674828,44697.12
Trilith,false,05/29/2012,76,30626,2085214966,3909944358792493896,96173.34
Jabbertype,false,12/30/1991,34,-1852,74795759,1591381020591867326,32086.92
Janyx,false,02/25/2000,-92,23640,1298881667,5779141921437963704,32199.41
Flashspan,true,10/17/1993,-13,-7963,-1085343815,8002159758078753511,92876.81
Kimia,true,11/24/2014,33,-5405,2123833700,8874955087580423613,61974.05
Wikivu,true,04/12/2011,58,6444,583819221,-1277449009455532338,29810.97
Bubblemix,false,03/25/1991,54,8754,506329505,3527903923025713130,38650.35
Rooxo,false,07/21/1995,-86,23068,1320634250,-2510471492338704933,24167.97
Shuffledrive,true,09/16/2001,-11,-11236,727651357,3681290026651010269,42523.75
Jetwire,false,09/18/2003,94,-30000,2053317261,-7030581694812367129,62233.71
Realbuzz,false,02/08/1999,96,7872,1946113460,-895571315871353219,4581.03
Topicblab,true,12/13/1990,-32,-2562,-1280834782,7891093341547327165,27471.74
Dynava,false,03/05/2000,-70,21081,-1391118353,8374557229297012577,95595.01
Fatz,false,10/02/2004,-11,24734,-1003269951,-3073503634623224408,43609.14
Gabtype,true,02/28/2005,46,22314,1953620606,-6205957209585804437,95107.4
Kazio,true,02/06/2000,-36,23639,1884840697,-966890451082399711,87157.5
Geba,false,02/10/2015,-113,-8425,47823844,1902544619964502657,5373.07
Buzzdog,true,03/23/2001,-44,23913,-738143208,1755148118448158855,96694.28
Eadel,false,12/20/2006,5,2432,1702806776,-3616700900602174535,352.67
Aimbu,true,01/13/2008,-87,-823,-686271269,7106303267282982449,41308.85
Eare,false,07/01/2007,-91,6542,-1416063056,296883345375510442,23244.86
Kimia,true,07/17/1993,102,22299,-17873286,-742637112227622237,9723.16
InnoZ,false,08/14/1997,102,-8148,32408154,8390817735621969311,89621.55
Ozu,false,02/14/2004,-59,-16443,1764013398,8052479621911105082,75360.34
Trilith,true,02/25/2007,55,12981,-1344914419,-2060730842264130221,95985.06
Quimm,true,03/17/2012,119,-1368,-536611485,2045251176633074368,48528.1
Wikido,false,11/04/1991,69,28013,-543922453,8323213176681404435,96921.03
Fivebridge,true,08/29/2006,59,-682,1577519369,-4261674566048549331,8770.39
