Company,Global,Founded,WorkHourBalance,LastQuarterProfit,YearlyProfit,FiveYearProfit,MonthlyExpenses
Eadel,true,12/29/1994,94,5137,17024392,6320421893712502445,50954.07
Skidoo,true,03/04/1996,-27,18872,-600819716,8461705068093799626,54120.54
Yata,false,06/06/2002,-15,-19348,-1448296649,3627537259585402398,45286.0
LiveZ,false,01/28/2007,-5,-12404,-2106592238,3401800599181054980,59519.47
Edgeclub,true,01/08/2008,-42,-28600,-952435481,-5020503536443397540,93126.67
Livetube,true,03/29/2001,100,17094,27768279,2648761912475955541,38600.8
Riffwire,true,08/05/2006,104,9067,-554683392,-7066721656699321643,47699.15
Bluezoom,true,07/24/2008,-47,18742,-1053646869,-2667392851215116619,47981.84
Meedoo,true,01/24/2014,3,-12785,-1546899735,-471343934993722229,68844.9
Thoughtworks,false,04/25/1997,47,-20484,983679439,6108312422678664601,34946.49
Kwilith,true,10/05/2015,-90,-31843,-815911387,-8516246015298574918,53768.68
Meevee,false,01/31/1996,-22,6707,-1554850162,5770347075870793344,4020.94
Brainsphere,false,01/04/2014,-49,-10125,-2105985825,-6434498503584119702,10818.94
Realblab,true,09/28/1996,-98,-22310,2114929560,-8475670672413557403,54401.02
Skidoo,false,12/13/2001,-81,-10982,-80108024,-8015329708625634325,24280.5
Bubblebox,true,02/26/2000,-29,-32606,-1562945004,4382914742893404669,70711.26
Twitterlist,true,01/08/1994,69,-25751,1580880060,4661103328420495628,90342.28
Einti,true,09/30/2002,77,-26212,1765991925,-8583360391518390550,24068.07
Voomm,false,03/20/1998,52,-22832,-962955076,-9117192966562955789,65393.96
Dabshots,true,09/01/2014,-11,-10327,-372428565,-4258963871970090499,73765.42
Topicblab,true,03/19/2002,78,30716,-1793951858,-2006026537862155878,79652.76
Mudo,false,03/10/1993,-114,14394,-1409653029,85763107209690710,99003.62
Browsecat,true,01/28/2014,-104,-5232,-941867528,-7001015343807164809,37647.74
Yoveo,true,02/12/2001,12,-10651,660379559,8480686284719848274,65384.93
Meetz,false,07/01/1997,-65,4678,-16429580,274492739853345035,70876.34
Gabtype,true,12/12/1993,114,-19845,1202012106,5573328237534269400,67336.93
Blogpad,true,12/18/1997,48,18145,1077817126,-8078058529409764499,65771.38
Topicshots,true,12/21/2012,122,-10995,970008337,-7852973075890679482,32480.27
Realfire,true,06/24/1998,-18,16532,-1809886730,-3742987174298349894,49223.93
Blogtags,false,05/12/1994,84,29414,558293665,6528806324542789287,64494.77
Tekfly,true,09/12/1991,62,-15306,1896082249,8465687121742014317,31929.29
Kanoodle,false,07/14/2003,-65,-24063,-288003157,-2697721347891721488,48404.02
Yotz,true,10/20/2008,-41,2296,1615795372,-2760487301268519401,19680.02
Kwimbee,false,09/02/2009,-37,-18247,630309299,2484212726544383465,97286.85
Twiyo,false,12/25/1998,-44,11936,-832615755,-3376918064203200221,86875.09
Twimm,false,01/09/2004,9,-11177,-1453218002,-330710951019189907,73906.46
Voomm,true,07/08/1997,-33,-21748,481336496,3289551518212667015,39799.92
Linkbuzz,true,01/24/2008,-22,17114,-1618024506,9145399578604256808,39773.43
Flipstorm,false,09/20/1994,-58,-6892,-1508153796,-329907265928034763,44753.27
Gigashots,false,08/05/1993,64,-32754,-149228857,9174846253863452705,81008.24
Browsecat,false,06/11/1994,-2,23397,1377721144,5133510719970073069,95938.74
Edgewire,true,07/04/2003,98,23923,-1578207483,3303717006508417584,10593.71
Katz,true,09/15/2003,-30,-30682,1061182832,5879315329605633189,3949.73
Nlounge,false,04/27/2010,94,25590,1498092565,-8197147208334439806,13780.83
Yata,false,02/02/1997,-127,456,271531370,-8125230705200827875,27282.66
Fanoodle,true,06/18/2008,89,-31325,1932636229,744083200241260025,46731.1
Jaxspan,true,02/12/2005,-122,-9770,1602309603,-973637245549514523,18327.06
DabZ,false,04/05/1994,-59,840,827072982,8215767229608553042,47617.13
Oozz,false,03/11/2004,-10,9632,-1370283394,2199109967756599342,22460.75
Minyx,true,08/16/2007,114,1158,-1037843344,1786020694583655662,12226.56
Realpoint,true,06/09/2000,12,18368,376016283,-828372309285771990,9415.65
Trupe,true,09/05/1995,109,-7791,1190267709,3389236905369363583,35171.14
Jamia,false,05/07/1995,-30,-30809,-861653823,-9085533629277905418,77189.42
Wikibox,true,05/28/1992,-7,29622,738235215,5087631845391660604,96362.1
Yambee,true,05/18/1998,26,14940,-1386132268,-4472864612768390934,91159.1
Riffpath,false,03/26/2009,-70,5523,-564928096,4451775623621909949,11974.79
Fiveclub,false,03/18/2011,-114,26294,1276364692,-1026447026507691064,60792.31
Feedspan,true,05/28/2015,-25,-23584,356524317,-828202545233326975,64391.07
Dynabox,true,03/31/2003,-60,-14867,-1205488443,-8306182212049805615,16587.53
Photofeed,false,03/18/2005,-34,29613,-270271311,-5511440030692232249,31077.74
Kare,false,11/14/2004,31,-22315,888878471,-9151206811226839901,60047.37
Thoughtstorm,false,11/26/1993,50,19724,-1119035442,-8392407971569466208,80794.54
Aimbu,false,12/24/2006,-89,21971,-1293999665,-289885253471118117,36359.46
Ooba,false,06/30/2000,-54,-4374,-343489313,5571901319995393644,44092.34
Feedspan,true,07/02/1994,120,26105,1779521303,3567520194198211381,17405.85
Aivee,false,09/22/1997,30,-29666,-391277742,1403016009841824399,7243.54
Oyonder,true,05/23/2003,-14,-30052,-2108783655,-8597378640413175582,90547.6
Npath,false,07/03/2001,37,-20584,-1302677839,464017464950969684,61394.95
Flipopia,false,08/13/1992,43,-3951,1080476756,3148218913962735915,335.52
Abatz,false,09/03/2010,-75,17262,-446364995,1803920396879074764,71517.06
Kazu,true,05/10/2007,5,32621,432583123,4805263393391774672,20897.88
Oyoba,true,01/30/2015,68,-25676,965428091,5988475852635184522,61032.69
Kwimbee,false,07/12/1997,116,-7231,-5217314,5086003809239846787,79117.22
Skinix,true,07/23/2001,-94,-28596,-839046062,-3548971221732300548,55092.09
Browsetype,true,08/02/2015,-77,4095,-934551140,8493604116595616987,56761.61
Kwimbee,true,04/06/2012,-117,9495,-1884453053,1208641576270544711,22565.55
Wikizz,false,01/09/1992,-52,-7230,1085150529,3765157261490121207,60451.66
Flashset,true,12/16/1993,-93,-19456,2009627362,8039774725465432524,50591.78
Vinte,false,01/03/2006,50,-7921,1034107584,4390251617156831879,61471.61
Tagfeed,true,06/26/2008,119,17114,-484828959,104842317349548658,37065.43
Kwilith,true,08/19/2011,-92,-24930,1563415618,-5239625828212227626,21312.72
Quimm,false,05/04/1995,60,-7120,1599706203,-1218401133667189618,19252.08
Reallinks,false,02/26/1992,32,13138,920344974,-7977795678121866893,1311.05
Voonder,false,06/30/1993,-99,29942,-268453895,-6087924207139566268,55990.37
Brightbean,false,05/31/2012,-10,-16830,-1028022292,-3125632097840769125,37641.54
Dabvine,false,06/12/2015,-77,18143,119633243,7871098493482695178,56252.53
Realfire,true,06/09/2004,-94,-24712,-2131404033,-3393106077140246639,7401.5
Buzzbean,false,01/16/1995,91,22411,1711175643,-618114618462080138,12805.31
Babbleset,true,10/11/2003,-63,-17239,-836843854,4226096518611862447,15513.61
Gabcube,true,09/06/2003,77,-15701,-806588256,207965285217162873,48219.33
Vimbo,true,12/27/2005,-110,19498,511595768,-4847099995267594804,22557.99
Zoomdog,false,12/22/1999,-128,-2242,-468506200,-6249645521460165377,43834.15
Voonte,true,06/23/2003,94,32439,1935612981,8594333331025064975,5912.63
Bluezoom,false,04/04/1997,-121,-16727,217911941,-777752159569933649,21447.73
Lazz,true,03/06/2008,-1,-32453,-2083031929,9200791583777243574,58045.75
Skaboo,false,02/28/2005,69,18327,-1787068995,5156017393345795660,70240.57
Realcube,false,08/21/1992,43,22496,-960970936,4128627026119070218,72246.99
Avamba,false,07/13/2004,81,27423,-1871567223,-1296669027927237601,82961.2
Twitterwire,true,03/19/2014,-36,8240,1400573321,-7462180046816095323,8524.91
Kaymbo,true,09/22/2000,125,-25649,2047187694,-2262611899670106508,21575.29
Zoomdog,false,11/03/2000,-17,16115,1598495960,-1815500515908715225,81617.3
Realcube,false,10/01/2015,-67,-17304,-789053722,-5524484970765438968,73249.55
Zoombox,true,08/29/2007,-112,-13709,2047940050,-7825289112972264880,11296.26
JumpXS,true,05/31/2006,-55,-26251,233303002,-7577151041956173965,31623.13
Zoovu,false,07/14/2001,24,-30763,-1761930514,-5462758710087047489,82003.93
Mymm,false,06/27/2005,56,15424,1714856040,6777288670407621632,48136.68
Browsebug,true,05/29/2015,96,-16528,242278636,-5595567946956853813,94588.09
Gevee,true,02/18/1997,76,1253,-637522222,-7394465669487869979,12719.01
Dynabox,false,10/15/1998,107,9383,-1695053120,2487959851843849853,1214.08
Jaxspan,true,10/29/1993,-59,26177,-748974595,6935411179638864864,71490.76
Realbridge,true,05/31/2008,46,-8422,-2125623085,638149397746458770,54015.52
Blogpad,false,06/04/2009,-77,18789,1176180986,-2902577857635817764,58056.07
Thoughtstorm,false,07/05/2006,22,-19972,532099671,-3448192806193385789,79321.08
Quaxo,false,12/09/2002,78,-6710,-1195947335,-1088860073484241827,98219.41
Eimbee,true,05/19/1994,-75,-452,1740983953,6928946284670359680,90836.83
Blogspan,true,10/18/2013,-82,30416,-1630562835,-8193485170248275605,42622.02
Cogibox,true,06/10/2006,-87,-3366,-755999284,5522027653494570596,27372.71
Muxo,true,06/01/2007,-40,23601,-666606908,-1863573799646975020,96555.15
Voomm,false,02/24/2012,-102,-30629,1938521217,-3394625809622754171,15944.39
Brightdog,true,05/11/2000,-48,-12945,1176479271,-8964024611456611582,70415.99
Gabvine,false,12/01/1992,109,6669,-257264916,-4195247390001383763,44500.41
Photofeed,true,01/14/1995,-128,-27517,-1393072969,-7777573314278302976,29717.09
Kimia,false,09/27/1996,-63,-32025,-98014946,3496301081969938287,58002.36
Centizu,false,04/23/1996,-84,-3344,-1274430465,-7291730056074661882,21681.36
Youspan,true,09/13/2006,-22,-9021,-1907880647,2441332116962004814,19195.2
Fiveclub,true,03/27/1994,117,34,-1930051705,-8701014034556737015,26251.59
Skibox,true,04/30/1994,45,-13446,-1009846769,1956391189568493595,72709.3
Avavee,false,03/06/1994,-52,19854,616435273,4969500392322239275,60803.4
Youopia,true,08/11/2005,52,25782,74708803,-7048599721659538685,77702.8
Geba,false,04/19/2000,-60,-2278,-217630216,-8099821215407590115,63477.31
Minyx,true,06/03/2015,-101,-4440,1351080741,1781113825027512383,7430.38
Kwinu,false,09/28/2014,124,17558,1389611060,1221636493557205740,79317.38
Trudeo,false,01/30/2013,31,22649,96294700,-379743768094907511,52781.03
Dynazzy,false,08/15/1993,119,13214,307966072,5463567676965279159,9438.35
Yodel,true,11/22/2011,18,-19209,-1127473836,6075837194331486604,85284.09
Topicware,true,09/22/2001,91,30155,343343040,773160906949262761,84.96
Wikizz,true,05/03/2008,-114,9805,-1771757934,3879755581280121750,23021.7
Twimbo,false,12/06/1994,-91,-4944,136573765,-8445115004922453423,36365.88
Rhyzio,true,05/31/1999,15,-23759,-1631381169,4981784027295245833,71528.76
Skyba,true,12/30/2002,58,13167,1530759294,140091376431788430,98760.63
Linklinks,false,02/22/1993,-9,23805,-1133955722,2852792892338268679,8590.19
Linkbuzz,true,10/20/2014,53,27891,-948035218,-5088335128827308621,48189.25
Feednation,false,08/06/1998,-79,-7736,-1065077472,-578581016872163763,41403.14
Jayo,true,11/08/1992,81,6369,1715326149,4926544937472940943,99879.45
Jaloo,true,11/22/2005,72,-4013,1078668118,-3917395067445943011,27310.73
Oyonder,false,06/16/2000,-12,-27681,-848794800,7641266148822165820,20450.63
Latz,false,12/02/2000,89,-1283,1076199613,-3103931699862148276,54678.67
Kayveo,false,01/06/2013,107,21204,-581907334,-3596597930110430131,72980.41
Fivechat,true,10/05/2001,-22,-30065,1995109211,-6408575968701241911,79523.99
Leexo,false,09/28/1997,-59,3037,1144333974,7512142779197029148,9090.82
Yadel,false,09/13/1992,-49,7122,1436104168,2384916173105773500,20183.33
Agivu,true,02/24/2000,-71,31442,1300130405,1168161488290596775,49306.65
Mydeo,true,02/20/1995,-57,21505,-1769739088,7758327165698799484,19380.55
Realpoint,true,05/24/2014,47,2616,264567757,-5535164812674383861,2166.4
Janyx,false,09/19/1995,67,-13525,1136109006,-455572844052352310,27622.31
Agivu,true,07/18/2013,14,27776,-1339500329,6370716313671836320,1635.04
Teklist,false,08/25/1996,-94,21783,528864061,2461409016254005261,94038.01
Kaymbo,true,06/09/2001,-57,31492,-182418942,-9015437550322634092,84148.18
Wikizz,false,08/03/1991,-52,27607,1004004046,8247623058177543022,10112.56
Browseblab,true,11/15/2012,-128,-21414,1603627843,-3494197912820637073,75428.31
Quire,false,12/07/2000,100,28453,22971403,1532453814875723664,49809.26
Meejo,false,01/29/1997,-123,23506,1573971301,6187276151196812338,30811.67
Fivespan,true,04/29/1996,-43,19467,-909555197,6884250507898770189,1566.89
Skalith,true,08/27/2011,-118,-6931,-631232708,-8453988555437007489,59424.6
Omba,false,12/28/1998,107,27599,-516585791,7301931477675046298,59733.4
Buzzbean,false,02/07/2007,52,6933,1637322839,440974481996353355,16510.91
Voonyx,false,03/27/2008,-72,16279,-1826599933,-6142128047391974614,50933.04
Devcast,true,12/29/2013,-117,511,715995706,5427106756077673485,86623.07
Jazzy,false,07/28/2002,-70,-15342,-1565820258,-7484731804620659325,40870.47
Tekfly,false,09/20/2007,62,-31900,-1555731381,-4521000848982807981,67975.08
Topicstorm,true,06/24/2007,109,22504,1690747918,-5123579996051243212,26104.33
Yombu,true,03/28/2012,45,4097,-1918003841,-6602808838127645848,5449.21
